"person","sequence_id","coin","start","sequence"
"pierreG","1","1CHF","h","thhthtththhhtthhhththhhhhxtthxhttttthhhtxthxxhhtxhthththhttxtttthtthhthhhhthhhttxhhtthhttxhtthxhxxttttththtthhht"
"pierreG","2","1CHF","t","hhththhhtthththhxthhthhhhhxhtthhthththhhtthhhxthhhttxhtthhhhhxhtxhhttxxtththhtttttxttthxtthtthhhtxthhhxxhhhthhtth"
"pierreG","3","1CHF","h","htxtxttxtthtthtxhxhtthhhhtxhhtxhththhhhthhttthhttxxxttthxtthttxtthxhthtxtxhhtxtthhhtttthhttxtxhtthtxhtxttxttxthhttthhtthht"
"pierreG","4","1CHF","t","hxththhtthxththtxhthhxtthttttthtthttththhtxtttthhhhhhtttttththtthtthxhtthhtxxtthhhhhttttththxttthhtxhtthxxhxhthtxxt"
"pierreG","5","1CHF","h","hhhhhthttthttthtthhhthxtxttttxhhtthxhhttxthhhtthhhtthhhtthhhhxhhhxxhtthhhttxxhhthxtxththxtxthhtxthhhhththhhhhhhthhh"
"pierreG","6","1CHF","t","hxtttthxhhhtxhthththhthhthhthhhhthhttthhhhthxhhthhhhthtthththtthtthhhxtttthhxtxthhhhxxhhhthhhththhxxhxxtththtthhh"
"pierreG","7","1CHF","h","hxhtttxtthththththhththtthxtttttthtxxtttxhthhhthhhxhxhhthtthhhhhtthtthtxtxhhhtthhhhthttthhhhhhttthhttthtxthttht"
"pierreG","8","1CHF","t","hthtthxhttththhttthhtttttthttxhhtththttxhthttthhththtthththtttxthhtthhttxhxttthhhhhhhhthtthtxhhhhhxtthhttthxh"
"pierreG","9","1CHF","h","tthhtxththhhxhhxhhtxhtthhhthhhhhthththhttxhhthhxhthththtttthhthhhtxhthtthtthhhxhhhtthhthththxxthhhhththhttxxthth"
"pierreG","10","1CHF","t","tthhhtthhhhtthhthhhhthhthhthhthhhtxxhhhtththxhtthhhxhtthtththhthhttththhhhhhxthhthttthththttthtthtththhxth"
"pierreG","11","1CHF","h","htthtthhttxtthhthhthtttthttthhtthxhxtthththhhththttxhthtxhhtthhtthhtxtthtxhththhttthhtthhthxtxthttxxxhthhtxhhhtxhh"
"pierreG","12","1CHF","t","hxttthhhththxthxhxxhhthtxhthxhthtthttthhthxhtthhhxxtxxhhhttthxthtthxhtxtxttththttthtthhxtthhhtttthtttthtthhththttthhh"
"pierreG","13","1CHF","h","hhhhxthxhxhhththhxtthtthhhthhtthtthhxhhttxhthttttxhtththttttxtthhthhthtttttttxtthhhhhhhttthxthxthhhthhhhthhxhtht"
"pierreG","14","1CHF","t","hhhthhthtthhthththhttththhhhhtxhhhhtthhhhhxtttthtthhhtthtttttxttthhxtthtxhxtthhhthtthhtthttttxttthhxhttthhhh"
"pierreG","15","1CHF","h","hhhhxhhhttxxhhttttthtttththttthxtthhxthththhxthhxxtthhttxhttxtthththtthxhtttththhthhtthtthxththhhttxthhhthhhhhthh"
"pierreG","16","5CZK","t","hhhhhthhthhhhttthhhthhtttthhhthhhtttttxhthhhthhhhtththhthhhhtthxtttxtxtthhhhthhtttxthhthxhhhhhthhhhhhhttht"
"pierreG","17","5CZK","h","thhtxhhttxhhhhthhhxtthhtttthtthtxhhhhthhhthhhthththhthtttthtthtxtttththhhhtthttthxtththtttthhthtttxthhhhhht"
"pierreG","18","5CZK","t","httthhhhxhhhttttxttthtttthhhxxhhthhxhhtxhhhhtxththxthhttthhhhthtthhttttththtttthhhttthttthhtttttttxtttthhxhhxtt"
"pierreG","19","5CZK","h","httxttxhtttthhhxhtthtttttttxhhttthtthhhhtthxttttttxttxhhhhhhthhhxththhttthhhhhththhttthhtthhthxtxtttxhthxhhhhhht"
"pierreG","20","5CZK","t","hhthhhttththhthttthxthhtthhhtttthttxtthhxhhhtttttttthhhthxhttthhththtthhtxthtttthtthhthtththttxhthhhtthhht"
"pierreG","21","5CZK","h","thtttthttthxtthhthttttthxtttthtxthththhtthhhhttxxthhxhttthtxhthhhhtthhxththhxtttthtttthhtthhhhtthhttttththhth"
"pierreG","22","5CZK","t","hththhthttthxtttthhhhtxhhttththttttthhxhxthhhhhhthxthhthhttthttxhhtthtththttttthhththtxhhhthhthththtxhhhhttt"
"pierreG","23","5CZK","h","ttthtthhtthththhhtthtxthtthhhhttthtththttxththhxthttxhhhthhthhttxthhthtxhtttthhxhhhthxthhthtttxhthhhhhthhxthht"
"pierreG","24","5CZK","t","txhhttthhhhhhhtttthththhthtthhtxhhhhthhhthtthththhtxhtthxttxhthtthxhhtttxtxtthtttttththhthxththhtxhhthhhtxtxxhtht"
"pierreG","25","5CZK","h","hxhthhhhttthttthttxtxhhxtthtttttthhhttttthhhhhhthtttttxthhhhthhtththttththhttttxhxhhhtthttttththhththtththt"
"pierreG","26","5CZK","t","xhtthhhttttxhtththxhhhhhhhhxthxtthttxxhxththhtthhthxthhxhhthhtthhhtthttthhhxttthhhhhhhtxttthhhtthxhhtthhththhhthh"
"pierreG","27","5CZK","h","htthhtthxththtththhhxhhhthhhtththhtthththtthhhhhhhhhthhhtthhhhththxthxxhtthhtttxhtxhhttxttttthhtttxhhtttthhht"
"pierreG","28","5CZK","t","hhthhhttthhhhxhhhhttthhhhxhththhxhthxhththhtxthtxtttthhtttthtxthhththxxthhhtththttthhhhththtththhthhxththhthth"
"pierreG","29","5CZK","h","hthxtthtthtthhhhhttthtthtxhhtthhthhttttthhthxtththttthtttttthhthtthtttxxhxhhttttthtxxhttttttthxthhhxhhhtthhthxh"
"pierreG","30","5CZK","t","hhhththtthththhththhxhhhhhhxhthtthttttttthhttxhthhxthhhhhxhtthtxhtththxththththhtthxththhththhhtthhtthxthhtht"
"pierreG","31","1CNY","h","htttthtthtthttthhhhhhhhthtthhxhhhhhhhxxttxtthhthtthhthtthxhhthxtthhhttthhththhttxhthtthhhthtxthhhhttttththxtt"
"pierreG","32","1CNY","t","hhthhhtthhxhtthhhtxttxhhtttttthxhhthtththtthxhthtxxttxhthxtthththhthhhtttxhxtttthtthhthtththhtthhhttthttxttthxhth"
"pierreG","33","1CNY","h","httththhhhtxxxhhhhhxhthhthttthtthhthhhtthhttxtttxxtththttttththtthhhhtttxhhtxhththhttthtttxhhththhhhtthtthhttt"
"pierreG","34","1CNY","t","ththtthtthhxttxtttxthttthxthtthttthttxhxtthttxhhhththtxtxthxxthttththhtthhttxhthtxthxhhhxththtxthtthhxttttxthhthhhhhhh"
"pierreG","35","1CNY","h","thhhhxhhhhtthhthxxhthhthhthhxtxthththhtxtxhththhthtttxthththhtxxtxthhtthhtthhththththttxtttththtthttththhttthhhh"
"pierreG","36","1CNY","t","hhhxtxhhhhhtthtxhhthtthhhttxxthhxhtthhtthtthxththhtxttththhxtttxttxhxttttxhhttthhthhhhtthththhthhhhhthhthtxhhhxthtt"
"pierreG","37","1CNY","h","hhtttththhthtthtthtttxhtthhxhthtththhhxhhhhthttxxhhhhxthhhhhhhthhthhhhhtttthththtttttthhhhthhtththtthtttth"
"pierreG","38","1CNY","t","tttttxhtxthhttththhttthtttttthttthxhxtthhttthhxthxtxhthttttttththhttttthtthtthttthttxtthhhtttthhtxththhthhhht"
"pierreG","39","1CNY","h","thttthththhhtththhtthhhhtthhthhhhtttttthttttthhttththhthhhhtxhhhhhxhtthtthtxthhhhhttxhthtttthhtthhtttxhth"
"pierreG","40","1CNY","t","hththththttxhhhhhhhtthhtxhttthxhttttttxtthxttttthhxhhthhhththhhhttxttthhtthhhttttthhhxhthhthhttxhthhthhhthhht"
"pierreG","41","1CNY","h","txhhththhhtththhxhthhhxthhhhtttxtttthtthhthhtxhhhhxththhtthhhthttxththhhxttththhhthhxhthhhxthtxtthhtthttthhttxhh"
"pierreG","42","1CNY","t","hxthtttttthhtthtxhhhhthhhthttthtthhthxttthttthxtttttxhththtttttthhtthhtxthtxthththhthththtttthtththxththhtht"
"pierreG","43","1CNY","h","hthhhhhhtthtthhhhxtthhthhthhhhtttthtxhtxthhhhhhthhhhtttthtttxttttthxtthhttthhtthhhththhtxthhhthhhhxhttthhht"
"pierreG","44","1CNY","t","ththtthhhtttxhhtththttttthhhhhhhththhhhhttthhhhxhhthtththhxhtthhxthhhtththhxhhhtthtthttththttthxhtttthhhhh"
"pierreG","45","1CNY","h","hhhthxhxhthhhhthhhthttthhxhththhhhhhxhhhhhhhthtththhhtthhhthhhxhthththhthhhhthhthhhthtthtththhtthththhtht"
